ratio_percent;simu;scenario;variable
0.432672103374216;simu4;sceannualcodclosure;av_bwtrip
-0.241482862547798;simu5;sceannualcodclosure;av_bwtrip
0.16451600614846;simu6;sceannualcodclosure;av_bwtrip
0.508378409013673;simu7;sceannualcodclosure;av_bwtrip
0.230702862284971;simu8;sceannualcodclosure;av_bwtrip
0.329493084511597;simu9;sceannualcodclosure;av_bwtrip
0.227207917187727;simu10;sceannualcodclosure;av_bwtrip
0.892648396298483;simu1;scequartercodclosure;av_bwtrip
0.733261657431882;simu2;scequartercodclosure;av_bwtrip
0.454583545441594;simu3;scequartercodclosure;av_bwtrip
0.531145888553169;simu4;scequartercodclosure;av_bwtrip
0.611909176216756;simu5;scequartercodclosure;av_bwtrip
0.574367086900637;simu6;scequartercodclosure;av_bwtrip
0.803404136938511;simu7;scequartercodclosure;av_bwtrip
0.928818711582707;simu8;scequartercodclosure;av_bwtrip
0.428477298072167;simu9;scequartercodclosure;av_bwtrip
0.734010315639225;simu10;scequartercodclosure;av_bwtrip
-0.279502119406317;simu1;scebaseline;av_trip_duration
-0.346749229340915;simu2;scebaseline;av_trip_duration
-2.51702464914145;simu3;scebaseline;av_trip_duration
-1.70623818585986;simu4;scebaseline;av_trip_duration
-0.910215931834202;simu5;scebaseline;av_trip_duration
-1.06953958294982;simu6;scebaseline;av_trip_duration
-1.35637806510177;simu7;scebaseline;av_trip_duration
-1.56319871060509;simu8;scebaseline;av_trip_duration
-1.05518158104793;simu9;scebaseline;av_trip_duration
-1.90347899068242;simu10;scebaseline;av_trip_duration
-0.158932118829213;simu1;sceavchokpszpectra;av_trip_duration
0.072473215322205;simu2;sceavchokpszpectra;av_trip_duration
-1.06919703556049;simu3;sceavchokpszpectra;av_trip_duration
-0.533200442206436;simu4;sceavchokpszpectra;av_trip_duration
-0.161921180318046;simu5;sceavchokpszpectra;av_trip_duration
-0.257119352484963;simu6;sceavchokpszpectra;av_trip_duration
0.577929916310154;simu7;sceavchokpszpectra;av_trip_duration
-0.748500654397489;simu8;sceavchokpszpectra;av_trip_duration
0.0411672455176131;simu9;sceavchokpszpectra;av_trip_duration
-0.817989394932468;simu10;sceavchokpszpectra;av_trip_duration
-12.2972114064607;simu1;scesizespectrastopifchok;av_trip_duration
130.391502379128;simu2;scesizespectrastopifchok;av_trip_duration
-14.0842629294339;simu3;scesizespectrastopifchok;av_trip_duration
142.498478240199;simu5;scesizespectrastopifchok;av_trip_duration
-6.40273383362121;simu6;scesizespectrastopifchok;av_trip_duration
112.873917929333;simu7;scesizespectrastopifchok;av_trip_duration
-11.971485299099;simu8;scesizespectrastopifchok;av_trip_duration
-10.1772893574559;simu9;scesizespectrastopifchok;av_trip_duration
-12.7713902623907;simu10;scesizespectrastopifchok;av_trip_duration
-15.3643715269446;simu3;sceavchokpszpctrastopifchok;av_trip_duration
158.531960986125;simu4;sceavchokpszpctrastopifchok;av_trip_duration
173.414189987549;simu5;sceavchokpszpctrastopifchok;av_trip_duration
125.955900436871;simu6;sceavchokpszpctrastopifchok;av_trip_duration
105.478657818289;simu7;sceavchokpszpctrastopifchok;av_trip_duration
-9.96634748811218;simu8;sceavchokpszpctrastopifchok;av_trip_duration
-13.5662163559086;simu10;sceavchokpszpctrastopifchok;av_trip_duration
0.828626131305654;simu1;sceavhtariffspszpctratariffs;av_trip_duration
1.0217186960852;simu2;sceavhtariffspszpctratariffs;av_trip_duration
0.591360491971372;simu3;sceavhtariffspszpctratariffs;av_trip_duration
0.924644849675843;simu4;sceavhtariffspszpctratariffs;av_trip_duration
1.57270513264751;simu5;sceavhtariffspszpctratariffs;av_trip_duration
0.141197077509105;simu6;sceavhtariffspszpctratariffs;av_trip_duration
0.333789907070397;simu7;sceavhtariffspszpctratariffs;av_trip_duration
-0.589680467443571;simu8;sceavhtariffspszpctratariffs;av_trip_duration
1.09529206864323;simu9;sceavhtariffspszpctratariffs;av_trip_duration
0.557916147390983;simu10;sceavhtariffspszpctratariffs;av_trip_duration
-5.54308422681058;simu1;scetrgthtariffspszpctratariffs;av_trip_duration
-3.57293989789758;simu2;scetrgthtariffspszpctratariffs;av_trip_duration
-6.00762608574337;simu3;scetrgthtariffspszpctratariffs;av_trip_duration
-5.32797713832386;simu4;scetrgthtariffspszpctratariffs;av_trip_duration
-6.26026050742797;simu5;scetrgthtariffspszpctratariffs;av_trip_duration
-6.17181353274874;simu6;scetrgthtariffspszpctratariffs;av_trip_duration
-4.76987854584911;simu7;scetrgthtariffspszpctratariffs;av_trip_duration
